hrap_id,hrapx,hrapy,county,max_win_pt,return_period
556_123,556,123,La Salle,0.03,1.0
555_123,555,123,La Salle,0.03,1.0
559_126,559,126,La Salle,0.02,1.0
558_126,558,126,La Salle,0.03,1.0
557_126,557,126,La Salle,0.05,1.0
559_125,559,125,La Salle,0.04,1.0
557_125,557,125,La Salle,0.05,1.0
560_124,560,124,La Salle,0.04,1.0
559_124,559,124,La Salle,0.05,1.0
558_124,558,124,La Salle,0.05,1.0
562_126,562,126,McMullen,0.03,1.0
561_126,561,126,McMullen,0.02,1.0
560_126,560,126,La Salle,0.03,1.0
562_125,562,125,McMullen,0.03,1.0
560_125,560,125,La Salle,0.03,1.0
562_124,562,124,McMullen,0.03,1.0
561_124,561,124,McMullen,0.03,1.0
565_127,565,127,McMullen,0.06,1.0
564_127,564,127,McMullen,0.03,1.0
563_127,563,127,McMullen,0.03,1.0
565_126,565,126,McMullen,0.03,1.0
564_126,564,126,McMullen,0.03,1.0
563_126,563,126,McMullen,0.04,1.0
565_125,565,125,McMullen,0.04,1.0
563_125,563,125,McMullen,0.03,1.0
565_124,565,124,McMullen,0.04,1.0
564_124,564,124,McMullen,0.05,1.0
563_124,563,124,McMullen,0.04,1.0
568_127,568,127,McMullen,0.16,1.0
567_127,567,127,McMullen,0.13,1.0
566_127,566,127,McMullen,0.16,1.0
568_126,568,126,McMullen,0.13,1.0
566_126,566,126,McMullen,0.18,1.0
568_125,568,125,McMullen,0.11,1.0
567_125,567,125,McMullen,0.13,1.0
566_125,566,125,McMullen,0.17,1.0
571_127,571,127,McMullen,0.13,1.0
570_127,570,127,McMullen,0.2,1.0
569_127,569,127,McMullen,0.17,1.0
571_126,571,126,McMullen,0.09,1.0
569_126,569,126,McMullen,0.18,1.0
571_125,571,125,McMullen,0.1,1.0
570_125,570,125,McMullen,0.18,1.0
569_125,569,125,McMullen,0.13,1.0
574_128,574,128,Live Oak,0.16,1.0
573_128,573,128,Live Oak,0.19,1.0
572_128,572,128,McMullen,0.1,1.0
574_127,574,127,Live Oak,0.17,1.0
573_127,573,127,Live Oak,0.18,1.0
572_127,572,127,McMullen,0.08,1.0
574_126,574,126,Live Oak,0.22,1.0
572_126,572,126,McMullen,0.11,1.0
574_125,574,125,Live Oak,0.26,1.0
573_125,573,125,Live Oak,0.17,1.0
572_125,572,125,McMullen,0.11,1.0
577_128,577,128,Live Oak,0.64,1.0
576_128,576,128,Live Oak,0.43,1.0
575_128,575,128,Live Oak,0.21,1.0
577_127,577,127,Live Oak,0.7,1.0
575_127,575,127,Live Oak,0.28,1.0
577_126,577,126,Live Oak,0.61,1.0
576_126,576,126,Live Oak,0.57,1.0
575_126,575,126,Live Oak,0.42,1.0
580_128,580,128,Live Oak,0.76,1.0
579_128,579,128,Live Oak,0.62,1.0
578_128,578,128,Live Oak,0.57,1.0
580_127,580,127,Live Oak,0.97,1.0
578_127,578,127,Live Oak,0.59,1.0
580_126,580,126,Live Oak,0.94,1.0
579_126,579,126,Live Oak,0.83,1.0
578_126,578,126,Live Oak,0.58,1.0
582_129,582,129,Bee,1.01,1.0
581_129,581,129,Bee,0.97,1.0
582_128,582,128,Bee,1.0,1.0
581_128,581,128,Bee,1.02,1.0
583_127,583,127,Bee,0.52,1.0
581_127,581,127,Live Oak,1.12,1.0
582_126,582,126,Bee,0.69,1.0
581_126,581,126,Live Oak,1.01,1.0
585_129,585,129,Bee,0.28,1.0
584_129,584,129,Bee,0.5,1.0
583_129,583,129,Bee,0.8,1.0
585_128,585,128,Bee,0.31,1.0
583_128,583,128,Bee,0.73,1.0
586_127,586,127,Bee,0.27,1.0
585_127,585,127,Bee,0.51,1.0
584_127,584,127,Bee,0.38,1.0
588_129,588,129,Bee,0.19,1.0
587_129,587,129,Bee,0.25,1.0
586_129,586,129,Bee,0.35,1.0
588_128,588,128,Bee,0.13,1.0
586_128,586,128,Bee,0.21,1.0
588_127,588,127,Bee,0.18,1.0
587_127,587,127,Bee,0.12,1.0
591_130,591,130,Goliad,0.3,1.0
590_130,590,130,Goliad,0.23,1.0
589_130,589,130,Goliad,0.19,1.0
591_129,591,129,Goliad,0.14,1.0
589_129,589,129,Goliad,0.22,1.0
591_128,591,128,Bee,0.16,1.0
590_128,590,128,Bee,0.29,1.0
589_128,589,128,Bee,0.41,1.0
590_127,590,127,Bee,0.19,1.0
589_127,589,127,Bee,0.4,1.0
594_130,594,130,Goliad,0.11,1.0
593_130,593,130,Goliad,0.18,1.0
592_130,592,130,Goliad,0.27,1.0
594_129,594,129,Goliad,0.14,1.0
592_129,592,129,Goliad,0.16,1.0
594_128,594,128,Goliad,0.09,1.0
593_128,593,128,Goliad,0.21,1.0
592_128,592,128,Bee,0.16,1.0
597_131,597,131,Goliad,0.26,1.0
596_131,596,131,Goliad,0.29,1.0
597_130,597,130,Goliad,0.31,1.0
596_130,596,130,Goliad,0.29,1.0
595_130,595,130,Goliad,0.15,1.0
597_129,597,129,Goliad,0.35,1.0
595_129,595,129,Goliad,0.23,1.0
597_128,597,128,Goliad,0.44,1.0
596_128,596,128,Goliad,0.37,1.0
595_128,595,128,Goliad,0.25,1.0
600_131,600,131,Goliad,0.62,1.0
599_131,599,131,Goliad,0.57,1.0
598_131,598,131,Goliad,0.28,1.0
600_130,600,130,Goliad,0.35,1.0
598_130,598,130,Goliad,0.24,1.0
600_129,600,129,Goliad,0.3,1.0
599_129,599,129,Goliad,0.51,1.0
598_129,598,129,Goliad,0.28,1.0
598_128,598,128,Goliad,0.24,1.0
603_131,603,131,Victoria,0.24,1.0
602_131,602,131,Goliad,0.38,1.0
601_131,601,131,Goliad,0.48,1.0
603_130,603,130,Refugio,0.17,1.0
601_130,601,130,Goliad,0.28,1.0
603_129,603,129,Refugio,0.09,1.0
602_129,602,129,Refugio,0.22,1.0
601_129,601,129,Goliad,0.2,1.0
605_132,605,132,Victoria,0.09,1.0
604_132,604,132,Victoria,0.28,1.0
605_131,605,131,Victoria,0.1,1.0
604_131,604,131,Victoria,0.19,1.0
606_130,606,130,Refugio,0.05,1.0
604_130,604,130,Refugio,0.11,1.0
605_129,605,129,Refugio,0.03,1.0
604_129,604,129,Refugio,0.08,1.0
608_132,608,132,Victoria,0.04,1.0
607_132,607,132,Victoria,0.07,1.0
606_132,606,132,Victoria,0.09,1.0
608_131,608,131,Victoria,0.04,1.0
606_131,606,131,Victoria,0.07,1.0
609_130,609,130,Victoria,0.07,1.0
608_130,608,130,Refugio,0.02,1.0
607_130,607,130,Refugio,0.04,1.0
611_133,611,133,Calhoun,0.06,1.0
611_132,611,132,Calhoun,0.07,1.0
610_132,610,132,Calhoun,0.06,1.0
609_132,609,132,Victoria,0.06,1.0
611_131,611,131,Calhoun,0.07,1.0
609_131,609,131,Victoria,0.04,1.0
612_130,612,130,Calhoun,0.03,1.0
611_130,611,130,Calhoun,0.05,1.0
610_130,610,130,Refugio,0.07,1.0
614_133,614,133,Calhoun,0.03,1.0
613_133,613,133,Calhoun,0.04,1.0
612_133,612,133,Calhoun,0.07,1.0
614_132,614,132,Calhoun,0.03,1.0
612_132,612,132,Calhoun,0.05,1.0
614_131,614,131,Calhoun,0.05,1.0
613_131,613,131,Calhoun,0.03,1.0
612_131,612,131,Calhoun,0.04,1.0
617_133,617,133,Calhoun,0.08,1.0
616_133,616,133,Calhoun,0.08,1.0
615_133,615,133,Calhoun,0.03,1.0
617_132,617,132,Calhoun,0.07,1.0
615_132,615,132,Calhoun,0.03,1.0
617_131,617,131,Calhoun,0.09,1.0
616_131,616,131,Calhoun,0.08,1.0
615_131,615,131,Calhoun,0.06,1.0
620_134,620,134,Calhoun,0.05,1.0
619_134,619,134,Calhoun,0.05,1.0
618_134,618,134,Calhoun,0.06,1.0
620_133,620,133,Calhoun,0.04,1.0
618_133,618,133,Calhoun,0.07,1.0
620_132,620,132,Calhoun,0.04,1.0
619_132,619,132,Calhoun,0.03,1.0
618_132,618,132,Calhoun,0.09,1.0
619_131,619,131,Calhoun,0.03,1.0
618_131,618,131,Calhoun,0.07,1.0
623_134,623,134,Calhoun,0.18,1.0
622_134,622,134,Calhoun,0.08,1.0
621_134,621,134,Calhoun,0.04,1.0
623_133,623,133,Calhoun,0.11,1.0
621_133,621,133,Calhoun,0.05,1.0
623_132,623,132,Calhoun,0.07,1.0
622_132,622,132,Calhoun,0.05,1.0
621_132,621,132,Calhoun,0.07,1.0
625_135,625,135,Matagorda,0.14,1.0
624_135,624,135,Matagorda,0.15,1.0
626_134,626,134,Matagorda,0.05,1.0
625_134,625,134,Matagorda,0.14,1.0
624_134,624,134,Matagorda,0.19,1.0
626_133,626,133,Matagorda,0.08,1.0
624_133,624,133,Matagorda,0.19,1.0
626_132,626,132,Matagorda,0.06,1.0
625_132,625,132,Matagorda,0.12,1.0
624_132,624,132,Matagorda,0.18,1.0
628_135,628,135,Matagorda,0.01,1.0
627_135,627,135,Matagorda,0.04,1.0
626_135,626,135,Matagorda,0.06,1.0
629_134,629,134,Matagorda,0.03,1.0
627_134,627,134,Matagorda,0.04,1.0
629_133,629,133,Matagorda,0.04,1.0
628_133,628,133,Matagorda,0.0,0.0
627_133,627,133,Matagorda,0.03,1.0
631_136,631,136,Matagorda,0.05,1.0
631_135,631,135,Matagorda,0.04,1.0
630_135,630,135,Matagorda,0.04,1.0
629_135,629,135,Matagorda,0.05,1.0
631_134,631,134,Matagorda,0.04,1.0
630_133,630,133,Matagorda,0.05,1.0
634_136,634,136,Matagorda,0.07,1.0
633_136,633,136,Matagorda,0.06,1.0
632_136,632,136,Matagorda,0.04,1.0
632_135,632,135,Matagorda,0.05,1.0
641_141,641,141,Matagorda,0.08,1.0
640_140,640,140,Matagorda,0.09,1.0
639_140,639,140,Matagorda,0.15,1.0
638_140,638,140,Matagorda,0.16,1.0
637_140,637,140,Matagorda,0.13,1.0
638_139,638,139,Matagorda,0.15,1.0
636_140,636,140,Matagorda,0.08,1.0
635_140,635,140,Matagorda,0.03,1.0
637_139,637,139,Matagorda,0.15,1.0
636_139,636,139,Matagorda,0.1,1.0
635_139,635,139,Matagorda,0.03,1.0
637_138,637,138,Matagorda,0.15,1.0
635_138,635,138,Matagorda,0.05,1.0
636_137,636,137,Matagorda,0.15,1.0
635_137,635,137,Matagorda,0.05,1.0
634_139,634,139,Matagorda,0.05,1.0
633_139,633,139,Matagorda,0.06,1.0
632_139,632,139,Matagorda,0.07,1.0
634_138,634,138,Matagorda,0.08,1.0
632_138,632,138,Matagorda,0.04,1.0
634_137,634,137,Matagorda,0.06,1.0
633_137,633,137,Matagorda,0.07,1.0
632_137,632,137,Matagorda,0.04,1.0
631_139,631,139,Matagorda,0.05,1.0
630_139,630,139,Matagorda,0.05,1.0
629_139,629,139,Matagorda,0.04,1.0
631_138,631,138,Matagorda,0.04,1.0
629_138,629,138,Matagorda,0.04,1.0
631_137,631,137,Matagorda,0.05,1.0
630_137,630,137,Matagorda,0.04,1.0
629_137,629,137,Matagorda,0.04,1.0
630_136,630,136,Matagorda,0.04,1.0
629_136,629,136,Matagorda,0.04,1.0
628_138,628,138,Matagorda,0.01,1.0
627_138,627,138,Matagorda,0.07,1.0
626_138,626,138,Matagorda,0.08,1.0
628_137,628,137,Matagorda,0.03,1.0
626_137,626,137,Matagorda,0.08,1.0
628_136,628,136,Matagorda,0.03,1.0
627_136,627,136,Matagorda,0.03,1.0
626_136,626,136,Matagorda,0.07,1.0
625_138,625,138,Matagorda,0.07,1.0
624_138,624,138,Matagorda,0.13,1.0
623_138,623,138,Jackson,0.1,1.0
625_137,625,137,Matagorda,0.08,1.0
623_137,623,137,Calhoun,0.17,1.0
625_136,625,136,Matagorda,0.1,1.0
624_136,624,136,Matagorda,0.12,1.0
623_136,623,136,Calhoun,0.12,1.0
622_138,622,138,Jackson,0.09,1.0
622_137,622,137,Calhoun,0.1,1.0
621_137,621,137,Calhoun,0.06,1.0
620_137,620,137,Calhoun,0.06,1.0
622_136,622,136,Calhoun,0.09,1.0
620_136,620,136,Calhoun,0.06,1.0
623_135,623,135,Calhoun,0.19,1.0
622_135,622,135,Calhoun,0.1,1.0
621_135,621,135,Calhoun,0.04,1.0
619_137,619,137,Calhoun,0.06,1.0
618_137,618,137,Calhoun,0.05,1.0
617_137,617,137,Calhoun,0.08,1.0
619_136,619,136,Calhoun,0.06,1.0
617_136,617,136,Calhoun,0.08,1.0
620_135,620,135,Calhoun,0.06,1.0
619_135,619,135,Calhoun,0.06,1.0
618_135,618,135,Calhoun,0.06,1.0
616_137,616,137,Calhoun,0.06,1.0
